	cancer_type	tumor_normal_residuals_corr	prot_RNA_tumor_normal_ratios_corr	above_reg_line_ACSS1_Normal	above_reg_line_ACSS1_Tumor	above_reg_line_C1orf116_Normal	above_reg_line_C1orf116_Tumor	above_reg_line_CARD9_Normal	above_reg_line_CARD9_Tumor	above_reg_line_CDKN2A_Normal	above_reg_line_CDKN2A_Tumor	above_reg_line_CFI_Normal	above_reg_line_CFI_Tumor	above_reg_line_DYNC1LI1_Normal	above_reg_line_DYNC1LI1_Tumor	above_reg_line_ECH1_Normal	above_reg_line_ECH1_Tumor	above_reg_line_ECT2_Normal	above_reg_line_ECT2_Tumor	above_reg_line_FAM57A_Normal	above_reg_line_FAM57A_Tumor	above_reg_line_GPCPD1_Normal	above_reg_line_GPCPD1_Tumor	above_reg_line_HPS3_Normal	above_reg_line_HPS3_Tumor	above_reg_line_IFT43_Normal	above_reg_line_IFT43_Tumor	above_reg_line_IMPDH1_Normal	above_reg_line_IMPDH1_Tumor	above_reg_line_IMPDH2_Normal	above_reg_line_IMPDH2_Tumor	above_reg_line_MBNL2_Normal	above_reg_line_MBNL2_Tumor	above_reg_line_MFSD4A_Normal	above_reg_line_MFSD4A_Tumor	above_reg_line_NELL1_Normal	above_reg_line_NELL1_Tumor	above_reg_line_PPM1L_Normal	above_reg_line_PPM1L_Tumor	above_reg_line_RIPK3_Normal	above_reg_line_RIPK3_Tumor	above_reg_line_RNASET2_Normal	above_reg_line_RNASET2_Tumor	above_reg_line_SLC1A5_Normal	above_reg_line_SLC1A5_Tumor	above_reg_line_TALDO1_Normal	above_reg_line_TALDO1_Tumor	above_reg_line_THADA_Normal	above_reg_line_THADA_Tumor	above_reg_line_TXLNG_Normal	above_reg_line_TXLNG_Tumor	above_reg_line_USP7_Normal	above_reg_line_USP7_Tumor	tumor_normal_residual_diff_ACSS1	tumor_normal_residual_diff_C1orf116	tumor_normal_residual_diff_CARD9	tumor_normal_residual_diff_CDKN2A	tumor_normal_residual_diff_CFI	tumor_normal_residual_diff_DYNC1LI1	tumor_normal_residual_diff_ECH1	tumor_normal_residual_diff_ECT2	tumor_normal_residual_diff_FAM57A	tumor_normal_residual_diff_GPCPD1	tumor_normal_residual_diff_HPS3	tumor_normal_residual_diff_IFT43	tumor_normal_residual_diff_IMPDH1	tumor_normal_residual_diff_IMPDH2	tumor_normal_residual_diff_MBNL2	tumor_normal_residual_diff_MFSD4A	tumor_normal_residual_diff_NELL1	tumor_normal_residual_diff_PPM1L	tumor_normal_residual_diff_RIPK3	tumor_normal_residual_diff_RNASET2	tumor_normal_residual_diff_SLC1A5	tumor_normal_residual_diff_TALDO1	tumor_normal_residual_diff_THADA	tumor_normal_residual_diff_TXLNG	tumor_normal_residual_diff_USP7
C3L-00416	ccrcc	0.024460264278744967	-0.04125602435046181	False	False	True	False	True	True							False	True	False	True	False	False							True	True					True	True							False	False			True	False					True	True	-0.0999712485023243	-0.6281195192238326					-0.2751264818092633	-0.2137011211800199	0.010400930765786305				-0.1876398358284022							-0.3095347854218033		0.0060116981016078985			0.035977440337134396
C3L-00418	ccrcc	-0.060701691290581346	0.06108710103758912	False	True	False	False	True	True							True	False	True	True	True	True							True	False					False	True							True	False			True	True					False	False	0.10605219804747029	0.0145665668270753					-0.1331424823358472						0.3157954893385687			-0.4428799972716959				0.24409834094908922		0.01812365460485399			0.007764055334096603
C3L-00447	ccrcc	-0.08733123830372021	0.08801830538019566	True	False	False	False	True	True							True	False	False	True	False	True							True	False					True	True							False	True			False	False					False	True	-0.05158239897046571	-0.1671405469434663					0.06786619691063561	0.3790579796251574	0.19047873486828698				-0.2811864196907278							-0.2614448554252511		0.10539544475479451			-0.022945591850722605
C3L-00448	ccrcc	-0.08484015286110888	0.06527694610468682	True	True	False	True	True	False							True	False	True	True	True	True							False	True					True	True							False	True			True	True					False	False	-0.1567553223032155	-0.11420908320989198	-0.13673819708708973				0.0788660482705332						0.3116092053904307							-0.1136792280850762		-0.0923900013114248			-0.0758456237806832
C3L-00561	ccrcc	-0.07313725771544052	0.03126706454906626	False	True	True	True	True	True							True	True	False	True	True	True							True	True					True	True							False	False			False	True					False	False	0.16837429289613243	0.2449931044273972					0.1198298013231947	-0.0455426688310063					0.0738554300311238			0.07653109364404492				-0.21847532415685778		-0.0012558000970414006			-0.0006832604936433985
C3L-00581	ccrcc	0.00481667365981285	0.030664121185593213	True	True	False	True	True	True							True	True	True	True	True	True							True	False					True	True							False	False			True	False					False	False	-0.11876069717173879	0.33002975741081986					-0.2239049457407673						-0.037478373215168836							0.098853486388905		0.12264213800588253			-0.0684322742792117
C3L-00583	ccrcc	-0.07004369183686682	0.10828835629826895	True	False	True	False	True	True							False	False	True	True	True	True							False	False					True	False							False	True			False	False					True	False	0.08081239632446899	0.11806749612029166					0.15512938698887357						0.020326786527914302			-0.3665637129806901				0.07806478692550045		-0.0803288136471713			-0.042512568916181895
C3L-00606	ccrcc	0.04911143722482263	-0.07827924821137593	False	False	True	True	False	True							False	True	True	True	True	True							True	False					True	False							False	False			False	False					True	False	0.02652287219644861	-0.08520755410284189	-0.06908578004993471				-0.36857661633155236						0.1262484753405494			-0.3033119437185723				-0.10959599716405122		0.017347149057788405			-0.0662343486288998
C3L-00607	ccrcc	-0.005147761956223776	-0.019298734655036898	True	False	False	False	False	False							True	True	True	True	True	True							True	True					False	True							True	False			True	False					False	True	-0.011345064288556198	-0.0489442624354712	-0.13082999259098488				-0.3626994882681476						0.326735027567055			0.3050743446028472				-0.09623449509295659		-0.0038553334726571			0.0008698147290636948
C3L-00814	ccrcc	-0.1575431257822652	0.07889852521281444	False	False	False	True	True	False							True	False	False	False	True	True							False	False					False	True							True	False			True	True					False	True	0.05788679356715261	0.3195938168205033	-0.1668158810116372				0.1418586894709124	-0.12052298715943949					-0.21123602813354808			-0.6590916118454389				-0.0480252856422311		-0.0714065960938562			0.1220912950878575
C3L-00902	ccrcc	0.08845612256176325	0.010599791071853161	False	True	False	True	True	True							True	True	True	True	True	True							False	True					True	False							True	True			False	False					True	False	0.1054961475421077	0.839537236080143					-0.023711066937430192						-0.0800152758319609			-0.44578878042369524				0.0385782939788025		-0.07634115596505921			0.03305201532869401
C3L-00907	ccrcc	0.06973277146421938	0.008974447557210257	True	True	True	True	True	True							True	True	True	True	True	True							False	False					True	True							False	False			True	True					False	False	-0.0460725176957624	0.1347284929013584	-0.12780937613366028				0.1358639436278954						0.039362789591278785							-0.22970952070240339		-0.1653311617055489			0.1440239510585509
C3L-00908	ccrcc	-0.16945768930110805	0.11436794340819839	True	False	False	False	True	True							True	False	False	False	True	True							False	True					False	False							True	False			True	False					True	True	0.1582806725503296	0.20226641046265328	0.2110494717669133				0.1280401524698341	-0.19763457802660642					0.034787117452957095			-0.11473284834883501				0.2054260048363516		0.018292595838153798			0.0253695320483099
C3L-00910	ccrcc	-0.02597828676293068	0.06348876781135548	False	True	True	False	True	True							True	True	False	False	True	True							False	False					True	False							False	True			True	True					True	False	0.19682942891397598	-0.050449662522016714					0.032236824709853895	0.28686554197079417					-0.1982416170881175			-0.21900635692799258				-0.06822431470894551		0.008878675070558797			-0.029066665008728
C3L-00917	ccrcc	-0.07258379222378931	0.049778135983587476	True	False	True	True	True	True							False	False	True	False	False	True							True	True					True	False							False	False			False	True					False	True	-0.003843643614321407	0.6711277080798974	0.3099894043224535				0.3660100987257124	0.2132613478643755	0.4215845463579098				-0.09087693518743709			0.034286768185428085				-0.6030335085969841		-0.0087408112539374			-0.003084689938136
C3L-01281	ccrcc	0.0980662579237593	-0.07296226738013312	False	True	False	False	False	False							False	False	True	True	True	True							False	False					True	True							False	False			False	False					True	False	-0.1332231561134064	0.886258815545456	0.2502898023265995				-0.1843814173655979						0.23814520444259146							-0.14411552639825512		-0.0780892125106924			-0.1368882658528898
C3L-01286	ccrcc	-0.002833692605817745	0.05606129615776794	True	False	False	True	True	False							True	True	True	True	True	True							False	True					True	True							False	False			False	False					False	True	-0.047565232749771216	-0.2022163775996713	-0.13980061608167987				-0.1698391642874556						-0.014685203383367595							0.0060105675325208		-0.0687712688346363			-0.1140701379768421
C3L-01287	ccrcc	0.039727737774243016	0.15272878992396446	False	True	True	False	True	True							True	True	False	True	True	True							True	False					True	False							False	False			True	True					False	True	0.058975998295073793	0.5662799035737015					0.29213681615475623	0.035980475634541986					0.0655035268389711			-0.4171612827761623				0.023055947254100595		-0.0407525812933595			0.0436930435597927
C3L-01302	ccrcc	-0.16517313414133641	0.11057863059005033	False	False	True	False	True	True							True	False	False	True	False	False							False	True					False	True							True	True			True	False					True	True	0.1470152864734671	-0.08797501020192222					-0.034897828159503805	-0.2272596693385377	0.1068571404894923				-0.1842552137732273			-0.0437935549217876				0.1868587786046764		0.005394417603216295			-0.0047775109651097
C3L-01313	ccrcc	-0.09356835704945045	0.1214382282883453	True	False	True	True	True	True							True	True	True	True	True	True							False	True					True	True							False	True			False	False					False	True	0.1857894156416851	0.4996747111843734					0.028619139357724005						-0.07257032708356499							-0.1389712721125746		-0.043087415190207506			0.1258762062003971
C3L-01603	ccrcc	0.07782450896890244	0.05976117198076423	False	False	True	False	True	True							False	False	False	True	True	True							True	False					True	False							True	False			False	False					False	False	-0.1062588403806779	0.1320624539983064					0.11812884988349603	0.0006021257322036122					0.015342906804786803			0.8472455901756545				0.0207100571147405		0.23303782132766876			-0.07811719272225989
C3L-01607	ccrcc	0.12307651716718913	-0.11252779654835417	False	False	False	False	False	False							False	True	True	True	True	True							False	True					True	True							True	True			True	False					True	True	-0.5227151849210135	0.2522449869241634	0.018604995150565296				-0.4276511734743909						-0.0902792002635337							-0.5038895630662247		0.20617489505203482			-0.0660631835254927
C3L-01836	ccrcc	-0.011550225653662795	0.08477933707877192	False	False	False	True	True	True							False	True	True	True	True	True							False	False					True	False							False	False			False	False					False	True	0.05302752782965871	-0.21489142077661802					0.26240225366009073						-0.1196958559524692			-0.15627500608781875				0.35846288672770565		-0.04464399871502241			0.0919278963867931
C3L-01861	ccrcc	0.02954611613979463	-0.026307704798844693	True	True	False	True	True	True							False	True	True	True	True	True							True	False					False	True							False	False			False	False					False	False	0.5434734422814812	0.2018933948875056	0.30656144469350327				-0.2474783202033351						-0.027317238490135287			0.7097145708947147				-0.2989413056827843		-0.032961219518613194			0.08468399242656521
C3L-01882	ccrcc	-0.12118774749608749	0.004731908754199895	True	False	False	True	True	True							True	False	True	True	True	True							True	True					False	True							False	False			False	False					False	True	-0.0076380143480719	-0.34921970088091026					0.053376530945237616						0.0846447651351338			0.3872865348071391				-0.2037907847578728		-0.0671001025422488			-0.11391920984886011
C3L-01885	ccrcc	-0.18531852858895015	0.05002032839417645	True	False	False	True	True	False							True	True	False	True	True	True							False	True					True	True							True	True			True	False					False	False	-0.025483962892958623	0.0253672954133127	-0.004799316411432497				0.0560190297693777	0.5033823939415208					0.2704616665406845			0.374721811259877				0.0196407762310434		0.1159902174058924			-0.10849294880399749
C3N-00148	ccrcc	-0.2062367740066615	0.10671039435628284	True	False	True	False	True	True							True	True	False	True	False	False							False	True					True	True							True	False			True	True					False	True	0.1218323706529243	0.4235809411985864					-0.3400364663913185	-0.00705587445511649	0.0043375914281701955				-0.038723157402074715							-0.07032025373748349		0.1505926149515241			0.0581543394467918
C3N-00149	ccrcc	-0.07344010326120075	-0.11628468459332854	False	True	False	True	True	True							False	True	True	True	True	True							True	False					True	True							False	True			True	True					True	False	-0.20141135883065717	-0.050844298401032204					-0.7345758524350731						-0.2644464116424552							0.1908038845346629		0.1553374914902458			0.0719929340906218
C3N-00150	ccrcc	0.06833833495982192	0.07688369319055915	False	True	True	True	True	True							False	False	True	True	True	True							True	True					False	True							False	False			True	False					True	False	-0.35604137489905047	0.053592486760708824					-0.1580117407075087						-0.11103366372853729			0.1306867231698381				0.0017540998027118088		0.0561406116836726			-0.0171001547536472
C3N-00168	ccrcc	0.011348289330661749	0.0446570219548187	False	True	True	False	True	True							True	False	True	True	True	True							False	True					True	True							True	False			False	False					False	False	0.20444698082242702	0.3176948874853979	0.11648427837120641				-0.1488956602371252						0.1811568119120346			-0.9554279739061387				-0.3465712846873195		0.041311625971245096			0.0293145212733678
C3N-00177	ccrcc	-0.06677768134555702	0.0556137059397356	True	True	False	True	True	False							True	True	True	False	True	True							True	False					True	False							True	False			False	False					True	True	0.2781843247842291	0.3204561487876998	0.054158476858369				0.12602198421388727	0.0703253249325026					0.10231431165483819			0.07712811026403738				-0.1011196132722032		-0.056036567304207696			0.027236226808909296
C3N-00194	ccrcc	-0.11360847900847304	0.055327057178558924	False	True	False	True	False	True							True	True	True	True	True	True							True	True					False	True							True	False			False	True					False	True	0.002750000130582301	0.6989106026337328	0.21079231485366934				-0.172478526990472						-0.08147470286045722			0.6275344562357701				0.014705964674071897		-0.0753338832688416			-0.0299283084967003
C3N-00242	ccrcc	-0.03757796570250142	0.04715592222776592	False	True	False	True	True	True							True	True	True	True	True	True							True	True					False	False							True	True			False	True					False	True	-0.1819247432254939	0.5713861102858655	0.10519626374495059				0.005973433835142206						-0.2718223736014592			-0.3233132788028496				-0.046318225603194		-0.2760055668643994			0.0753273410951923
C3N-00244	ccrcc	-0.13992831971810213	0.07188333914332949	False	False	True	False	True	True							True	True	True	True	True	True							False	False					True	False							False	False			True	True					False	True	-0.0047241426592448	0.3123208145122253					0.0465643403384753						-0.07665624520908991			0.1392581141646258				0.1225744624612676		0.1385381520718882			-0.054043756739341704
C3N-00310	ccrcc	-0.0700172500439953	-0.012163959353295608	True	True	True	False	False	False							True	False	True	True	True	True							False	True					False	False							True	False			False	False					True	False	0.10887857294362761	0.011819701365145208	0.2030581088243438				-0.26845264284557624						-0.06663412402477341			-0.04334139764823591				-0.0486779240896798		0.13125812674779602			0.0679600797197882
C3N-00314	ccrcc	-0.033295658445572106	0.11452539170403322	True	False	False	True	False	False							True	False	True	True	True	True							False	True					False	True							True	True			True	False					False	True	0.23195746437543088	-0.4526370824472366	0.07303851061586258				-0.9653597455095198						-0.09656370157252941			-0.6608348652660656				-0.16684828219102577		-0.006997889924484301			-0.006211955782809499
C3N-00390	ccrcc	-0.0460199258087566	0.08270539823473651	False	False	True	True	True	True							True	False	True	True	True	True							True	True					False	True							False	True			False	True					False	True	-0.11109604161280899	0.5828476932161939	0.17433640714869658				-0.0722921541018342						-0.1584356913423793			0.21782788658464863				-0.040895862579919104		0.20040649830205468			0.06220091103369431
C3N-00435	ccrcc	-0.02052212331705795	0.08817136754513133	True	False	False	True	False	True							True	False	True	True	True	True							False	False					True	True							True	True			False	True					False	True	-0.02098361885058589	-0.23119777866422658	-0.092182573605159				-0.23489405780952172						0.02510919859902261			0.40488664831092297				0.1767971195747352		0.0431457342275697			-0.0781305469808934
C3N-00491	ccrcc	-0.09670206309723957	0.0024963818757567095	False	True	False	False	False	True							False	True	True	True	True	True							False	False					False	False							False	True			True	False					True	False	0.16011929055100138	-0.2394708626887106	0.00022876001307001181				0.10887551027427561						-0.1287191766927587			-1.4860877839347184				-0.3579190837841899		0.014075764907983207			-0.01642125190412791
C3N-00494	ccrcc	0.06960800791209715	-0.023249389280783128	False	True	False	True	True	False							True	True	True	True	True	True							False	False					False	True							False	True			False	True					True	False	0.27546439583154286	-0.09765810152627119	0.1200915288474295				-0.2635572414006503						0.0733947502539938			-0.4141337705483771				-0.08209270591829979		0.2404146060709872			-0.06359898066959781
C3N-00495	ccrcc	-0.12640045810250047	-0.0220688377516312	False	True	True	True	True	True							False	True	True	True	True	True							True	False					True	True							True	False			False	True					False	True	0.5630933278729439	0.16489575122920622	0.1188820233271238				0.005564219072987292						0.17489532920168802							-0.5522226006344572		-0.06347811506454279			0.1422259800000981
C3N-00573	ccrcc	0.03698040544710128	0.03915601710746441	True	True	False	True	True	True							True	True	True	True	True	True							False	False					True	True							True	False			True	True					True	True	-0.4712009947339379	-0.2756735600254804					-0.3017905617938862						0.2173843235151679							0.4562596385473088		-0.001118356240395399			-0.0087039800231296
C3N-00577	ccrcc	-0.019287242157148957	-0.07554255372292712	True	True	True	True	True	True							False	True	True	True	True	True							True	True					True	True							False	True			True	False					True	True	0.1455733023154306	-0.3851330316159023					-0.2476078865362214						-0.0366017303564445			-0.14841858461507162				-0.2982500584593597		0.021689524350110304			0.0647586491192316
C3N-00646	ccrcc	-0.09315130006069469	0.1270710996414511	True	False	False	True	True	True							True	False	True	True	True	True							False	True					False	False							True	True			True	True					False	True	0.2236761352936025	-0.12096461694167293					0.2058126319589086						0.051622510624109094			0.2735847298267261				-0.1260150919074164		0.2198616222296863			0.08166721382276199
C3N-00733	ccrcc	-0.1572889833212062	0.1228545327145319	True	False	True	True	True	True							False	False	True	True	True	True							False	False					True	True							False	False			True	False					True	True	0.17438446133901492	0.3374788567294796					0.0380844510520548						-0.25754464183553827			0.6753666598131552				0.14998033468188768		0.22951900089710722			0.0275905322991295
C3N-00831	ccrcc	-0.13220497852498428	0.07994310871696202	True	True	True	False	True	False							True	False	True	True	True	True							False	True					True	True							True	False			False	False					False	False	0.1527671549465059	0.1156676774444505	0.011672287773178198				0.28612079716088856						-0.26007820573309254							0.1256466642638782		0.2384292871935094			-0.0640135344177094
C3N-00834	ccrcc	-0.021931124866085814	0.07020127952042626	True	False	False	False	True	False							True	False	True	False	True	False							False	False					True	False							True	False			False	True					False	False	-0.06741587509872288	-0.6746287993219076	0.15463790691196672				-0.17266622212111096	0.060224979820396596	0.4096599978392587				0.2836450748201788			-0.35665647609410245				-0.10033109548673147		0.2170798286845167			-0.0985197516065968
C3N-00852	ccrcc	-0.03182973764330878	0.0788615227080802	False	True	False	False	True	False							True	True	True	True	True	True							True	True					True	True							True	True			True	False					False	False	0.341092997659837	0.36332320634074877	-0.1355099779696738				0.05769633017260459						-0.1687286136420818							-0.36343795520147637		-0.2985661883953278			-0.006669259719722098
C3N-01175	ccrcc	0.06929141078381523	0.12365636661579034	True	True	False	True	True	False							True	True	True	True	True	True							False	False					True	True							True	False			False	False					True	True	0.5173932946878479	0.29759968338289927	0.20482937019799669				0.11016502812281603	0.6500819401076903					0.1075423762740002			1.1991123642790849				0.0384073148237477		0.0682653740897385			0.1271416884504132
C3N-01176	ccrcc	-0.12344884894220694	0.07747722774873865	True	False	True	True	False	False							False	False	True	True	False	False							False	True					True	True							False	False			True	False					True	False	-0.1471292593985963	-0.3350825689923192	-0.39220631149560176				0.13582088815569238	0.03357787318894159	0.1258094590455201				-0.0947924892205349							0.3352320097540683		0.15436592745463368			-0.12141012146619119
C3N-01178	ccrcc	-0.043861312077362054	0.027029325603633327	True	False	True	False	True	True							True	True	True	True	True	True							False	True					True	True							True	False			True	True					True	True	-0.3721390215428397	-0.03788457047639188					-0.5080212257525137						-0.004539961255994485			0.04067174876135482				0.2793303642945549		0.012963650973739			0.1345842536657246
C3N-01179	ccrcc	-0.13646466475073168	0.07747383373025644	True	False	False	False	False	False							True	True	True	True	True	True							False	False					False	False							True	True			True	True					False	False	0.0697755356523455	-0.3928363393248126	0.07762909484320613				-0.28960195437081176						0.2292537261138654			0.581043839423515				0.09193223020157948		0.3389041268708397			-0.03277454045535899
C3N-01200	ccrcc	0.17637192086582398	-0.1326734353476032	False	True	False	False	True	False							False	False	False	False	True	True							True	False					False	False							True	True			False	False					True	True	-0.1073505349819302	-0.31670529986716356	-0.015816572209644664				-0.4630686790531662	0.009425588510009797					0.1252973975069775			-0.5374334122897397				-0.5400101771813081		-0.0022449406889201995			-0.022198780783530003
C3N-01214	ccrcc	-0.07999372830443793	0.03413770598639857	False	True	False	True	True	True							False	False	True	True	True	True							True	True					False	True							False	True			False	True					True	True	-0.03890562014608839	0.3932173776595867	0.244575389007462				-0.17350014188865628	-0.6394273292142796	-0.19773603379075122				-0.23474018106686928			-0.4770441627879374				0.020935815318499695		0.0212494141447254			-0.0883208259887769
C3N-01220	ccrcc	-0.050061213723185304	-0.031238744979284038	True	True	False	True	True	True							False	True	True	False	True	True							True	False					False	True							False	True			False	False					False	False	0.2331994768053811	0.386153415292851					0.2784650373729881	-0.1932382297862545					0.21579586920098848			0.41599231256566427				0.0610229311917347		-0.1485552197864205			0.0238907133920441
C3N-01261	ccrcc	-0.00719996789956216	0.0812611004040843	True	False	True	True	True	False							False	False	True	False	True	False							True	False					True	False							True	False			True	False					False	False	-0.4268368984600669	-0.10056742202142244	-0.1529972250793964				0.11884000891578378	-0.0019835157333528003	0.4311379523974869				0.1288080012689549			-0.19583439268557745				-0.1372968098924012		-0.18055378713089829			0.1754751596715597
C3N-01361	ccrcc	-0.18385304784101084	0.08513791358280741	True	False	False	False	True	True							False	False	True	True	True	True							True	False					True	False							True	False			False	False					False	True	-0.24157834240722825	0.0078798315486327					-0.08927443827092052	0.1545421099039019	-0.09646408467202582				0.0208573190534102			0.694800466920352				0.09746124429445072		-0.002920817079044402			0.0646324115927368
C3N-01522	ccrcc	-0.04152864577842477	0.09806743278175103	True	True	False	True	True	True							True	False	True	False	True	True							True	False					True	True							True	True			False	True					False	True	-0.1302937258297924	0.014291540924505311					-0.04097841856153202	-0.20080510931286702					0.0881804082758427			0.28572121888979574				0.018104798091686414		0.04995477216699559			-0.0697504560041047
