	cancer_type	tumor_normal_residuals_corr	prot_RNA_tumor_normal_ratios_corr	above_reg_line_ACSS1_Normal	above_reg_line_ACSS1_Tumor	above_reg_line_C1orf116_Normal	above_reg_line_C1orf116_Tumor	above_reg_line_CARD9_Normal	above_reg_line_CARD9_Tumor	above_reg_line_CDKN2A_Normal	above_reg_line_CDKN2A_Tumor	above_reg_line_CFI_Normal	above_reg_line_CFI_Tumor	above_reg_line_DYNC1LI1_Normal	above_reg_line_DYNC1LI1_Tumor	above_reg_line_ECH1_Normal	above_reg_line_ECH1_Tumor	above_reg_line_ECT2_Normal	above_reg_line_ECT2_Tumor	above_reg_line_FAM57A_Normal	above_reg_line_FAM57A_Tumor	above_reg_line_GPCPD1_Normal	above_reg_line_GPCPD1_Tumor	above_reg_line_HPS3_Normal	above_reg_line_HPS3_Tumor	above_reg_line_IFT43_Normal	above_reg_line_IFT43_Tumor	above_reg_line_IMPDH1_Normal	above_reg_line_IMPDH1_Tumor	above_reg_line_IMPDH2_Normal	above_reg_line_IMPDH2_Tumor	above_reg_line_MBNL2_Normal	above_reg_line_MBNL2_Tumor	above_reg_line_MFSD4A_Normal	above_reg_line_MFSD4A_Tumor	above_reg_line_NELL1_Normal	above_reg_line_NELL1_Tumor	above_reg_line_PPM1L_Normal	above_reg_line_PPM1L_Tumor	above_reg_line_RIPK3_Normal	above_reg_line_RIPK3_Tumor	above_reg_line_RNASET2_Normal	above_reg_line_RNASET2_Tumor	above_reg_line_SLC1A5_Normal	above_reg_line_SLC1A5_Tumor	above_reg_line_TALDO1_Normal	above_reg_line_TALDO1_Tumor	above_reg_line_THADA_Normal	above_reg_line_THADA_Tumor	above_reg_line_TXLNG_Normal	above_reg_line_TXLNG_Tumor	above_reg_line_USP7_Normal	above_reg_line_USP7_Tumor	tumor_normal_residual_diff_ACSS1	tumor_normal_residual_diff_C1orf116	tumor_normal_residual_diff_CARD9	tumor_normal_residual_diff_CDKN2A	tumor_normal_residual_diff_CFI	tumor_normal_residual_diff_DYNC1LI1	tumor_normal_residual_diff_ECH1	tumor_normal_residual_diff_ECT2	tumor_normal_residual_diff_FAM57A	tumor_normal_residual_diff_GPCPD1	tumor_normal_residual_diff_HPS3	tumor_normal_residual_diff_IFT43	tumor_normal_residual_diff_IMPDH1	tumor_normal_residual_diff_IMPDH2	tumor_normal_residual_diff_MBNL2	tumor_normal_residual_diff_MFSD4A	tumor_normal_residual_diff_NELL1	tumor_normal_residual_diff_PPM1L	tumor_normal_residual_diff_RIPK3	tumor_normal_residual_diff_RNASET2	tumor_normal_residual_diff_SLC1A5	tumor_normal_residual_diff_TALDO1	tumor_normal_residual_diff_THADA	tumor_normal_residual_diff_TXLNG	tumor_normal_residual_diff_USP7
C3L-01607	ccrcc		-0.11252779654835417																	True	True													True	True							True	True																														-0.5038895630662247					
C3L-01836	ccrcc		0.08477933707877192																	True	True													True	False							False	False																										-0.15627500608781875				0.35846288672770565					
C3L-01861	ccrcc		-0.026307704798844693																	True	True													False	True							False	False																										0.7097145708947147				-0.2989413056827843					
C3L-01882	ccrcc		0.004731908754199895																	True	True													False	True							False	False																										0.3872865348071391				-0.2037907847578728					
C3L-01885	ccrcc		0.05002032839417645																	True	True													True	True							True	True																										0.374721811259877				0.0196407762310434					
C3N-00148	ccrcc		0.10671039435628284																	False	False													True	True							True	False																			0.0043375914281701955											-0.07032025373748349					
C3N-00149	ccrcc		-0.11628468459332854																	True	True													True	True							False	True																														0.1908038845346629					
C3N-00150	ccrcc		0.07688369319055915																	True	True													False	True							False	False																										0.1306867231698381				0.0017540998027118088					
C3N-00168	ccrcc		0.0446570219548187																	True	True													True	True							True	False																										-0.9554279739061387				-0.3465712846873195					
C3N-00177	ccrcc		0.0556137059397356																	True	True													True	False							True	False																										0.07712811026403738				-0.1011196132722032					
C3N-00194	ccrcc		0.055327057178558924																	True	True													False	True							True	False																										0.6275344562357701				0.014705964674071897					
C3N-00242	ccrcc		0.04715592222776592																	True	True													False	False							True	True																										-0.3233132788028496				-0.046318225603194					
C3N-00244	ccrcc	-0.07142857142857142	0.07188333914332949																	True	True													True	False							False	False																										0.1392581141646258				0.1225744624612676					
C3N-00310	ccrcc		-0.012163959353295608																	True	True													False	False							True	False																										-0.04334139764823591				-0.0486779240896798					
C3N-00314	ccrcc		0.11452539170403322																	True	True													False	True							True	True																										-0.6608348652660656				-0.16684828219102577					
C3N-00390	ccrcc		0.08270539823473651																	True	True													False	True							False	True																										0.21782788658464863				-0.040895862579919104					
C3N-00435	ccrcc		0.08817136754513133																	True	True													True	True							True	True																										0.40488664831092297				0.1767971195747352					
C3N-00491	ccrcc		0.0024963818757567095																	True	True													False	False							False	True																										-1.4860877839347184				-0.3579190837841899					
C3N-00494	ccrcc		-0.023249389280783128																	True	True													False	True							False	True																										-0.4141337705483771				-0.08209270591829979					
C3N-00495	ccrcc		-0.0220688377516312																	True	True													True	True							True	False																														-0.5522226006344572					
C3N-00573	ccrcc		0.03915601710746441																	True	True													True	True							True	False																														0.4562596385473088					
C3N-00577	ccrcc		-0.07554255372292712																	True	True													True	True							False	True																										-0.14841858461507162				-0.2982500584593597					
C3N-00646	ccrcc		0.1270710996414511																	True	True													False	False							True	True																										0.2735847298267261				-0.1260150919074164					
C3N-00733	ccrcc		0.1228545327145319																	True	True													True	True							False	False																										0.6753666598131552				0.14998033468188768					
C3N-00831	ccrcc		0.07994310871696202																	True	True													True	True							True	False																														0.1256466642638782					
C3N-00834	ccrcc		0.07020127952042626																	True	False													True	False							True	False																			0.4096599978392587							-0.35665647609410245				-0.10033109548673147					
C3N-00852	ccrcc		0.0788615227080802																	True	True													True	True							True	True																														-0.36343795520147637					
C3N-01175	ccrcc		0.12365636661579034																	True	True													True	True							True	False																										1.1991123642790849				0.0384073148237477					
C3N-01176	ccrcc		0.07747722774873865																	False	False													True	True							False	False																			0.1258094590455201											0.3352320097540683					
C3N-01178	ccrcc	0.13214285714285715	0.027029325603633327																	True	True													True	True							True	False																										0.04067174876135482				0.2793303642945549					
C3N-01179	ccrcc		0.07747383373025644																	True	True													False	False							True	True																										0.581043839423515				0.09193223020157948					
C3N-01200	ccrcc		-0.1326734353476032																	True	True													False	False							True	True																										-0.5374334122897397				-0.5400101771813081					
C3N-01214	ccrcc		0.03413770598639857																	True	True													False	True							False	True																			-0.19773603379075122							-0.4770441627879374				0.020935815318499695					
C3N-01220	ccrcc		-0.031238744979284038																	True	True													False	True							False	True																										0.41599231256566427				0.0610229311917347					
C3N-01261	ccrcc		0.0812611004040843																	True	False													True	False							True	False																			0.4311379523974869							-0.19583439268557745				-0.1372968098924012					
C3N-01361	ccrcc	-0.07058823529411765	0.08513791358280741																	True	True													True	False							True	False																			-0.09646408467202582							0.694800466920352				0.09746124429445072					
C3N-01522	ccrcc		0.09806743278175103																	True	True													True	True							True	True																										0.28572121888979574				0.018104798091686414					
C3N-01524	ccrcc		-0.09873272040680336																	True	True													False	False							False	False																										-0.5726063217151105				0.2729314645907154					
C3N-01646	ccrcc		0.11003110349741849																	True	True													True	True							True	False																														-0.23619920516215587					
C3N-01648	ccrcc		0.04514562590727902																	True	True													True	True							True	True																										0.18627811122223809				0.10951507369602864					
C3N-01649	ccrcc		0.08068636457561056																	False	False													True	True							False	True																			0.03079371844880402											0.38281137031410706					
C3N-01651	ccrcc	0.13823529411764707	0.07149424325024611																	False	True													True	False							True	True																			-0.0166823533191547							0.477235637967664				0.5495756659773703					
C3N-01808	ccrcc		-0.019362099389417887																	True	False													True	True							True	False																			-0.13001155364835548											-0.37959478919380757					
C3L-00006	endometrial	0.15889951111465972	0.013307710901787308	False	True	True	False	True	False	True	False	True	False	False	False	False	True	False	False			False	False	True	False	False	False	False	False	False	False	False	False					True	True	False	False			True	True	True	False	True	True	False	False	False	True	0.4029914070233044	-0.404520110784304	-0.0438333190854176	0.12687093073468458	0.8003243573950213	-0.032776389788063603	0.20889653955343773	0.1227257173922511		0.2870030463097871	0.08562685721388759	-0.21262447493225103	0.11198188531182261	0.5351710054834847	0.1591224289271761				-0.2220905638797587		0.0218592906550511	0.1571828889433789	-0.029451840703880097	0.04869964646541161	-0.050430170378494
C3L-00361	endometrial	0.1653836799020935	-0.036470242339193076	False	True	False	False	False	False	True	True	False	True	True	False	False	True	False	False			True	False	True	False	True	False	False	False	True	False	True	True					False	True	True	True			False	True	False	False	True	False	False	True	True	False	-0.027564908878190797	0.3597700480301936	0.12306515292453969	-0.2620204824416131	0.3404300550316045	0.27450841613540083	-0.01344952255069079	0.2579979408236625		0.054542351051578813	-0.004555131746359603	0.2592428284865383	0.2365743363153395	0.2133093043504383	0.028103597657209503			0.150175656504066	0.1232096660645632		0.05508242714855449	-0.05147795703162231	-0.0840021690077919	0.0409323213156155	0.0254470222683079
C3L-00586	endometrial	0.2581870840634448	-0.05596794035424109	False	True	True	True	True	True	False	True	False	False	False	False	True	True	False	True			True	True	True	True	True	True	True	True	True	False	False	True					True	True	True	False			False	True	True	False	False	True	False	True	False	True	0.4642904602238321	-0.2261309794063584	0.12428315648479768	0.0736166494285824	0.49783086412550676	0.0350112137853003	0.1342211349515392	-0.044880738274637795		0.18610967038211318	0.0340116770491632		-0.2274672982284332	0.17274456199019042	-0.14033671337465647				-0.2989191896843055		0.2174789802198248	0.05776646823636358	-0.03387864153558459	-0.14379886160157448	-0.04142166030708799
C3L-00601	endometrial	0.24848757221672432	-0.006033415787611302	False	False	False	False	True	True	False	True	True	True	True	False	False	False	True	False			False	True	True	True	True	True	False	False	False	False	False	True					True	True	True	False			False	True	True	False	False	True	True	True	True	True	0.0585828172855235	0.047280507597788124	0.2546099366470775	-0.23897319743323378	0.4273546618338476	0.035580497229000196	0.010808671157186	0.2235483798894245		0.3535568059919164	0.0749895911236141		-0.0220734404919464	0.20539959976887	0.0687754941349761				0.2218599424675774		0.3060023086064175	0.1577804008977649	0.0097337065259956	-0.013128568421414591	0.1029266716542136
C3L-00932	endometrial	0.1417957594319941	-0.14035743313991855	True	False	False	False	True	True	True	True	False	True	True	False	True	False	True	False			True	False	False	True	False	True	True	False	True	False	False	False					True	False	True	False			False	True	True	True	False	False	False	False	True	True	0.1824745668245612	-0.028716591565190908	-0.20270975350099882	0.1693096073475325	0.7476937316608111	-0.0192181415838424	0.3055420322773228	-0.261749617028592		-0.1205938318167237	0.12294596156549319	0.002025005123576201	-0.028113040619367397	0.1771933058613664	0.22051258162520487			-0.2992277700855397	0.18527110799059207		-0.13355875082589788	0.08920874788060339	-0.017482253598089387	0.2743551002950111	0.09579414219212871
C3L-01282	endometrial	0.17152306334675355	-0.12491702422412253	False	False	True	True	False	False	True	False	True	False	True	False	False	True	False	False			True	False	True	False	True	True	False	False	True	True	False	False					True	True	True	False			False	True	True	False	False	False	True	False	True	True	0.014838877167194314	-0.1156197696034785	0.049564099309313214	0.195760497582183	-0.10192077573775551	0.2035573551993896	-0.04014985789366599	0.061087876491873395		0.2052327736171042	0.0615519750497098	-0.060834697799791906	0.07143088113488799	-0.0426933723265471	0.0998971548905003			0.10134831724839641	0.3232274942861308		0.989552565458598	-0.15402067616770942	0.043399632869803896	-0.0767394272712048	0.0744317672523723
C3L-01304	endometrial	0.21008821927949337	0.00865135156775554	False	True	False	True	False	True	True	True	True	True	False	False	True	True	False	False			False	False	False	False	False	True	True	True	False	False	False	True					True	True	False	False			True	True	True	False	True	False	False	True	True	True	-0.14210680223463967	0.1380484862062444	-0.21682461549106208	-0.07884061113328171	0.7851624840670639	0.0324028765466432	0.026778433409492403	0.1155433124729881		0.4143327000380676	0.171831557277554	0.056629045857420006	-0.0461210288330427	0.1177871663122454	0.2201112666135188			-0.014793259391087388	0.12660328674632848		0.3478367894409278	0.12464167062275078	0.043409800706349	0.0977191227926119	0.0643391641472418
C3L-01307	endometrial	0.13302791420011212	-0.054607226386316134	False	True	False	False	False	False	False	False	False	True	True	True	False	True	False	True			False	False	False	True	True	False	True	False	True	True	False	True					True	True	False	False			True	True	False	False	False	True	True	True	False	True	-0.05966935024710719	0.037186514648678504	-0.21856485752181187	0.0804596460375776	0.3040621380931857	0.11873224065908092	0.1751260929202204	-0.14291437373303473		0.16058655358025978	-0.0952382889304378	-0.2017449556737374	0.36560808152126173	0.0443213640492718	0.26285207570075486			0.018690575635529588	-0.0001407987791627041		0.07051435148999759	0.019853795796505896	0.07288566773938532	0.226687551142233	0.0279247760210156
C3L-01311	endometrial	0.16669440237104807	-0.011122373453758995	True	True	False	True	True	True	False	True	False	False	True	False	False	True	True	True			True	False	False	True	True	False	False	False	True	False	True	True					True	False	False	True			False	True	True	False	False	False	True	False	True	True	0.4401374802583762	-0.1949485124467574	0.09931201373923909	-0.4039228001967423	0.5763531754557106	0.082435003196544	0.5276219424033541	-0.270196826334045		0.236744379988382	0.1409630194150606	0.0503499430937879	-0.1657332595973139	0.2938195477891364	-0.04998655808086211			0.07449267557645131	-0.0796134862509439		0.011009787645180596	0.005904390899458406	0.2837338432259783	0.010543537383908709	0.01912411155711688
C3N-00333	endometrial	0.1886157669112338	-0.02276803166068755	True	False	False	True	True	True	False	True	False	True	True	True	True	True	False	True			False	True	False	False	True	True	True	True	True	True	False	True					True	True	True	False			False	False	False	True	False	False	False	True	False	False	-0.1604925233166138	0.3324923108955281	0.117058831959056	0.2206567308877416	0.5131662496693861	0.1811532088460236	0.29831175002759247	0.6828631630856434		0.0809933184398678	-0.098144536715856	-0.0957552848500485	0.23767450526532818	0.3130605707150348	0.08547304608278211				0.0166164055108572		1.4802227986083012	0.24066019095990598	0.018146136029758106	0.032441739442055806	-0.0005739242705945918
